ArtistID,ArtistName
283,Lobo
3657,Erick Sermon 
1679,Agust D
282,Petula Clark
1319,Kylie Minogue
214,George Michael
4475,Hozier
215,The Limeliters
559,Freddie Scott
217,Todd Rundgren
2531,Gonzalez
4061,Rockin' Rebels
3686,Donny Osmond
219,Tony Carey
258,Loggins 
220,Bob Dylan
821,Bad Boy's Da Band
3797,TK Kravitz 
1967,Ronald Isley
224,The Chordettes
440,Jeremih
225,The Mindbenders
266,P!nk
1763,Nipsey Hussle 
3396,Smokie
808,Montgomery Gentry
1856,Kane Roberts
509,Yankee Grey
2632,A Great Big World 
1455,Mac And Katie Kissoon
227,Blake Shelton
1272,Greg Lake
229,Simon 
231,America
2108,Chase Rice
1853,Thompson Twins
232,Dale Hawkins
4190,Henry Gross
1085,Bobby Vinton
234,Alejandro Sanz
1367,Enya
1065,Tony Orlando
235,Jimmy Clanton
459,Michael Buble
1633,Dee Clark
236,The Four Preps
2358,Cham 
3288,Club Nouveau
754,The Independents
1041,Little Mix
658,Rhinoceros
2480,Kebo Gotti
239,French Montana 
253,Carla Thomas
240,Joe Walsh
246,Jimmie Rodgers
4742,Natalie Imbruglia
241,King Harvest
609,The Allman Brothers Band
2270,The Easybeats
2867,The Five Americans
243,Ronnie Dove
3327,Rupert Holmes
244,Sara Evans
3036,Sagittarius
482,Diana Ross
1346,The Marshall Tucker Band
1321,Tamia
245,Wanda Jackson
1361,E-40
4701,Eddie Holman
4424,Shawn Colvin
503,Whitney Houston
357,Sam Salter
778,Seals 
1836,Five Flights Up
575,Estelle 
3202,Steve Aoki 
248,Erasure
250,Kenny Chesney
1991,Tracy Byrd
2126,Carr
464,Toad The Wet Sprocket
764,Pinkfong
251,21 Savage
2856,Doug Stone
634,Jack White 
1217,lovelytheband
3531,Dick Feller
252,Sheila E.
2643,Jamie Walters
3538,Ginger Baker's Air Force
254,The Toys
256,Clyde McPhatter
1370,Natalie Merchant
590,The Esquires
257,Messina
3339,Bob Luman
4708,Wanz
1672,Freak Nasty
261,Wilson Pickett
2262,Bar-Kays
2339,Brooklyn Bounce
2107,Charles Wright And The Watts 103rd Street Rhythm Band
1020,Peggy Scott-Adams
344,Harry Styles
715,Michael Sembello
1865,Magazine 60
3156,The First National Band
265,Billy Joel
1687,Terence Trent D'Arby
268,Five Stairsteps 
2065,Tony Terry
4192,O.A.R.
269,Kelly Clarkson
2972,Troye Sivan
969,BIA
1381,DJ Suede The Remix God
4027,Fort Minor 
270,The Whispers
419,Avril Lavigne
333,Various Artists
995,Herb Alpert
2887,Luke
924,Camila Cabello
271,Joe Diffie
273,The Tabulations
1037,Outkast
2443,Niko Moon
274,Brenda 
628,Michael Jackson
3933,Charles Brown
4634,Mark Valentino
277,Little Anthony And The Imperials
2490,The Virtues
1996,Eddie Rabbitt
4820,Rich Homie Quan 
279,Jessica Simpson
1550,Mel Torme
461,J. Cole
1568,k.d. lang
320,Brooke Hogan 
2841,Bull Moose Jackson
285,The Trumpeteers
2491,Mindy McCready
286,Jeremy
287,Chad 
3678,3OH!3 
365,Stevie Nicks
5019,Liner
1243,Vandenberg
961,Kellie Pickler
1942,Jade
289,The Arbors
310,Peter And Gordon
3025,Graham Nash 
4964,Nine
853,Autry Inman
328,Billy Ray Cyrus
434,John Legend
3796,Jacqueez
290,Tony Bennett
2076,The Chainsmokers
1048,Johnny Wakelin 
3435,King
293,The Seeds
1999,Republica
294,Steve Kazee
295,Christina Perri 
347,Ricky Martin
3003,Johnny Cash 
296,Christina Perri
298,Charlie Rich
572,Linda Laurie
584,Steve Alaimo
3387,Joni James
1814,Rock And Hyde
299,Duran Duran
952,Staind
1782,Tyga 
1197,Faith Hill
2362,The Pipkins
303,Lee Brice
2340,Cut 'N' Move
305,Ray Parker Jr. 
336,Chocolate Milk
462,Miguel 
306,Alan Jackson
1509,Donna Summer
309,The Seekers
3975,Iyaz 
2205,Blackfoot
1353,Golden Earring
2559,Psychedelic Furs
311,The Drells
1285,Debby Boone
3014,Chris Thompson 
313,Moby
2975,Brownsville Station
2618,Tommy Facenda
1148,A*Teens
4691,The Greatest Showman Ensemble
314,A$AP Rocky 
1320,Lil Suzy
2194,Morris Day
315,Aaron Carter
935,Kelly Dodson
1449,J. Davi$ 
2497,Hurricane Chris 
483,Julio Iglesias 
494,John Travolta
1119,The Fresh Prince
1454,Banzaii
3037,Laissez Faire
3102,Tom Petty
2816,Lil Skies 
319,Paul Wall
2656,Shooting Star
3185,Nelly Furtado
2031,Joe Cocker
861,T. Rex
2903,Liquid Smoke
1092,Fifth Harmony
710,Charlie Puth
4092,Sad Cafe
323,Nine Days
2957,Rubicon
325,Karmin
326,LL Cool J
470,Electric Boys
2774,Mario Winans 
2687,Men Of Vizion
327,Brad Paisley 
394,Chaka Khan
665,Pacific Gas And Electric
330,Survivor
4494,DJ SPINKING
383,Paramore
3379,Frankie Lymon
4413,Robin Schulz 
934,Jo Dee Messina
335,Jeezy 
1768,Third Eye Blind
429,Young Rome
3641,Henry Mancini
339,Terror Fabulous 
1143,The Fireballs
800,The Juniors
340,Popp Hunna
1588,Climax Blues Band
3335,Tha Dogg Pound 
343,Jim Reeves
390,Cage The Elephant
1420,Ernie Fields 
3662,The Righteous Brothers
345,Miley Cyrus
2314,Jack Scott
680,Adam Wade
4381,Eternal
574,Kanye West
747,Karla Bonoff
346,Miguel
1609,Buckcherry
2462,The Sapphires
3572,Desiigner
2459,Keri Hilson
349,Wisin 
3073,Tyler Collins
2762,Uncle Sam
2043,Barry Ryan
2326,DJ Snake
431,112
1106,Al Caiola And His Orchestra
3024,David Crosby
351,Daryl Hall John Oates
352,System Of A Down
4044,Hawks
5024,Walker Hayes
355,Weezer
359,Al Jarreau
1905,Carl Butler 
3810,YoungBloodZ
1229,Smif-N-Wessun
410,Emilio Pericoli
361,Don Toliver
3476,Cochise
3878,Kelly Osbourne
784,matchbox 20
363,Journey
3893,Andre Williams
3409,Glenn Medeiros
364,Roger Daltrey
913,Luke Combs
2615,Evelyn Thomas
504,Tamar Braxton
367,Starland Vocal Band
1463,Paul Revere 
369,Jewel
789,The Buckinghams
371,Phil Collins
1107,Billy Grammer
372,Aaliyah
793,Linda Ronstadt
1356,Lea Michele
374,TLC
3059,Chad Kroeger
1261,Danyel Gerard
377,The Ribbons
4264,Tasmin Archer
378,The Five Stairsteps
3779,Joe Stampley
994,Panjabi MC 
1873,Sugarloaf/Jerry Corbetta
474,Puff Daddy
817,Migos 
1907,B.o.B
379,Brick
433,Future 
3635,Ya Kid K
380,Nina Simone
1616,Gnarls Barkley
1523,Redbone
1301,NLE Choppa
2293,Burl Ives
604,The Turnabouts
3401,Adam Levine
381,Major Lance
3765,Demi Lovato
542,Deodato
522,Lin-Manuel Miranda 
3015,The Lox
4319,Platinum Blonde
1305,The Turtles
415,Brad Paisley
4009,Greta Svabo Bech
384,Mary Wells
3784,Mark Ronson 
3846,Beau Brummels
3903,Alexandra
1895,Chanson
3347,Climax 
3502,K Camp
966,Travis Tritt
387,Zara Larsson
791,Ahmad
1371,James Taylor
1237,B. Bumble 
388,Christina Aguilera
2709,Tommy Hunt
2662,George McCrae
4351,Darryl Worley
1826,DLOW
389,Rappin' 4-Tay
1157,Pistol Annies 
391,Kane Brown
3833,The Romantics
1955,Charlie Puth 
466,Fifth Harmony 
3559,Johnnie Morisette
1172,Iyaz
392,Bill Withers
4755,The Pasadenas
397,The 4 Seasons
1727,Sundance Head
398,Cheap Trick
400,The Searchers
404,Cole Swindell
411,Grateful Dead
763,The Shells
406,Albert Hammond
1577,Ray Peterson
1284,The Rivieras
1330,Stephen Stills
407,Hayley Williams
795,The Babys
412,Jerry Reed
758,Detroit Emeralds
414,Bobby Curtola
956,Al Green
2200,Molly Hatchet
416,Cilla Black
417,Tracy Lawrence
420,Atlanta Rhythm Section
876,Akon
422,P.O.D.
2733,Donnie Elbert
4703,Little Caesar and The Romans
423,Sia
4390,Carolyne Mas
2034,Bimbo Jet
558,Billy Paul
2335,Cassidy 
4176,MFSB
992,Zayn
3496,Lena Zavaroni
667,Waylon Jennings
1405,Herbie Hancock
1629,The Orlons
1557,Spandau Ballet
2595,Eve 6
424,Color Me Badd
978,D4L
425,Hoodie Allen 
1154,SaFire
566,Lonestar
3885,K5
4514,The Tornadoes
1730,The Knockouts
428,Lisa Stansfield
882,Guy Sebastian
432,Allure 
437,Chris Brown 
953,Daddy Yankee
702,Better Than Ezra
1680,Danity Kane
438,Meek Mill 
3509,Rivers Cuomo
441,Five Star
915,INXS
3447,Taja Sevelle
2429,James Booker
4857,Yolanda Be Cool 
1822,Arctic Monkeys
2534,Ella Washington
3530,Floyd Robinson
1383,Megan Thee Stallion 
442,The Crystals
3915,Famous Dex 
443,Adele
446,Chuck Wicks
447,Rod Wave
3623,Jim Ed Brown
448,Backstreet Boys
452,Bette Midler
453,Armageddon
455,Fat Joe 
869,Sirah
1494,Mat Kearney
460,Carly Simon
3959,Huey
463,Howard Jones
4020,Ivan
4929,Roberta Flack 
467,Maxine Brown
2061,Cascada
733,Mumford 
469,Miranda Lambert
706,Billy Vera 
4636,Big Sambo and The House Wreckers
973,Daniel Caesar 
471,Foo Fighters
653,Lil'z
871,Jan And Kjeld
4776,Joe Cooley
472,Aaron Neville)
2715,Re-flex
473,Linda Ronstadt (
4478,Eva Simons
1008,Roddy Ricch
1435,John Rowles
476,Laura Branigan
3619,Ingrid Andress
2233,Teddy Geiger
1935,The Beau Brummels
4069,Ayo 
477,Keith Sweat
478,Entouch 
3294,Flipp Dinero
2617,Jerry Lee Lewis And His Pumping Piano
479,Jay-Z)
520,Mary Chapin Carpenter
485,Milli Vanilli
2753,3LW 
4555,The Bucketheads
1898,The Communards
2166,Utopia
1960,Ansil Collins
2571,Bellamy Brothers
4536,Trade Martin
487,Theory Of A Deadman
1920,Eddie Floyd
488,Air Supply
3104,Don McLean
4833,Default
